komentar,skor,topik
"1.Kontrakan &Listrik 1.000.000
2.Transportasi 10.rbx 30hr = 300.000
3.Uang belanja sehari² beras,minyak dll 100rbX30 =3.000.000
4.Biaya sekolah anak 1.000.000 u/2 Anak 
5.biaya tak terduga 500rb lah😊 Total 5.8jt pak 🙏. Kebutuhan tiap bulanna Tapi ngontrak satulyna😂 Etateh Abi anu teu Ngarokok pak Mahilah Anu ngarokokmah Moal mahi 😅. Mejehna lah 6 jtamah UMK ❤ UMSK tinggal nambihan Sakedik wioslah sesuai Resiko yg di timbulkan . Bagi PT Yg menolak UMSK tandai pak Tuman😂",0.0,Harga Pangan
"Pak Usul ,Supaya Buruh Jangan di Potong Gaji nya Untuk Srikat.Karena Dengan kenaikan buruh,maka iuran mereka ke srikat juga naik.Uang Pemasukan Srikat juga masuk ke mereka .Atau di Putusin Aja buat Pergub.Buruh iuran untuk Serikat 1000 / Bulan.Sekarang itu lbih dari 5000 / orang setiap bulan.Bayangkan dari Berapa Puluh Ribu karyawan.Masuk kemana Tuh uang .Makan uang hasil Keringatnya buruhkah kalian Pengurus Serikat.Nanaonan lah",1.0,Harga Pangan
Peminpin paket kumplit.,0.0,Kelayakan Upah
Sampurasun cibalanarik Tanjung jaya Tasikmalaya hadir selalu buat pak gubernur Jawa barat semoga sehat selalu dan panjang umur berkah rejekinya berkah hatinya berkah ilmu nya ini pemimpin sangat peduli terhadap buruh pabrik di Jawa barat Rahayu Rahayu,0.0,Kelayakan Upah
Bapak aing the best ❤❤,0.0,Lain-lain
"Jika buruh aspirasinya diwakili oleh partai buruh (mungkin) maka petani peternak dan nelayan pun harus membuat partai politik karena jumlahnya lebih banyak dan petani, peternak, nelayan tidak pernah mendemonstrasi pemerintah untuk menuntut kenaikan gaji/ pendapatan padahal banyak orang yang kerja disektor informal yang tidak menentu pendapatannya 😊",1.0,Kelayakan Upah
Anu demo Hente sabaran. Te kudu kajalan.Tinggal Ninggal YouTube Oge beres,0.0,Lain-lain
"Ini baru namanya gubernur Jawa barat yang sesungguhnya tegak lurus dalam bekerja, salam dari pondok gede jati cempaka swadaya 1",0.0,Optimisme Ekonomi
Upah itu hrs d rundingkan antara serikat pekerja dan yg punya pabrik,0.0,Kelayakan Upah
Bogor hadir ❤❤❤❤❤❤❤❤❤❤❤,0.0,Lain-lain
"nasib kawan2 daerah lain miris bgt..beban kerja meningkat gajinya stag..
pimpinan daerah lain gk ada keterbukaan, pada gk ada niat transfansi soal hitung2an dan rumusan standar penggajihan berdasar resiko dan kesejahteraan...",1.0,Kelayakan Upah
Semoga Allah SWT melindungi dan memudahkan urusan KDM Aamiiiin,0.0,Lain-lain
"Saya orang Jateng,Tpi suka langkah"" KDM 😂",0.0,Lain-lain
Asalamualaikum wr wb majalengka hadir,0.0,Lain-lain
Assalamualaikum Waramatulahi Wabarakatuh sampurasun SILIWANGI DAN KDM saya PENGAGUM SILIWANGI DAN KDM dari Kalbar Pontianak hadir ❤❤❤,0.0,Lain-lain
"4 thun ngilu rapat kieu,bisa bisa jadi pejabat kie cara na mah.
Jadi pinter asli na masalah pemerintahan...

Nyalon jadi kades ach,,,,,,hahahahahah",0.0,Kebijakan Pemprov
"Untuk semua yang demo soal upah udah lah kita harus beryukur bisa kerja ,, percuma naik gajih ekonomi makin naik,,",1.0,Kelayakan Upah
terima kasih....pak kdm...❤,0.0,Lain-lain
Kawasan MM 2000 Bekasi masih ada perusahaan yang tdk menggunakan standar UMK ( gaji masih di bawah UMK). Pak Gubernur tolong sidak atau Pergub yg mengharuskan semua perusahaan penggajian harus sesuai UMK. Haturnuhun...,0.0,Tuntutan Keadilan
"Masih untung maraneh masih garawe di pabrik"" produksi /industri.menang gajih gede bulanan, ges ulah loba teuing ngadaremo engke bisi pabrik pindah lokasi kumha lamun nika di tutup.pertahankan maraneh nu jadi karywan pabrik"" sing bener garawe na sing jalujur, Kuring mh usaha teh kur kuli juru parkir da lain te hayang ka pabrik ayeuna mh di batasi hese asup.boga sekil mh ari Lowongan na di tutup teu waka narimaan karywan anyar hese.komo bagi kaum lalaki mh teu laku gawe di pabrik"" teh...sok we coba ku maraneh. Urang mh ges nyobaan berbagai daerah ges di aprak jabar mah lumar lamar teh hese.",0.0,Tuntutan Keadilan
Abah Songgom_Sumedang  hadir,0.0,Lain-lain
"Dengan melihat ini, mereka yang biasanya suka demo soal upah makin mengerti asal mulai penetapan upah. Jadi, nantinya tidak asal demo yang bisa merugikan orang lain maupun diri sendiri.",0.0,Kelayakan Upah
"betul kata pk dedi, sebelum ke gubernur harusnya serikat n pabrik membicarakan soal kenaikan gaji, klo semua langsung nuntut ke gubernur atau kpl daerah terus apa gunanya ada serikat buruh",1.0,Kelayakan Upah
Haji udin ❤,0.0,Lain-lain
Mantap 👍👍👍👍,0.0,Lain-lain
Juwana. - Pati ♥️🇮🇩,0.0,Lain-lain
Pak pungli dijabar meresahkan,0.0,Optimisme Ekonomi
Dukung KDM,0.0,Lain-lain
Memang jenius bpk aing mah,0.0,Lain-lain
Hadirrrr,0.0,Lain-lain
"Sampurasun Bapa Aing 🙏 
Sikat semua para oknum yang ada di setiap perusahaan Maammppoosss Luh elit ga bisa berkutik 😂😂",0.0,Lain-lain
UMP Jabar paling kecil yaa,-1.0,Kelayakan Upah
"MINIMA GAJI DIJABAR SEPATUTNYA 1000 RINGGIT ATAU 4 JUTA RUPIAH,SALAM DARI MALAYSIA",0.0,Kelayakan Upah
Mantap bapak aing mah....eweh lawan😊,0.0,Lain-lain
❤,0.0,Lain-lain
Inilah pemimpin yg sebenarnya yg barpihak pada buruh,0.0,Kelayakan Upah
"Beratnya kalau UMSK kalau diserahkan ke perusahaan masing2 , beban PUK jadi berat dan kemampuan negosiasi setiap PUK berbeda beda. Nantinya 1 Sektor upan minimum UMSK bisa berbeda2. Ini hanya untuk meringankan beban PUK. Pak.",0.0,Lain-lain
Betul kata KDM banyak pempin di negeri memanfaatkan buruh sebagai alat untuk di pilih,0.0,Kelayakan Upah
"maaf telat ikut rapat🙏
dikarenakan room panyirapan soreang dilanda hujan",0.0,Lain-lain
tah nu demo denge ku sia!,0.0,Lain-lain
"ngotot Upah naik setinggi tingginya buat apa jika harga barang barang naik. 
Inflasi iya,  penganguran juga iya.., Otomatis perusahaan akan menaikan harga produk dan mengurangi tenaga kerjanya jika masih mau hidup.",1.0,Kelayakan Upah
Teu ngalarti NU daremo geus teu kaharti mh kawas aing buburuh macul,0.0,Kelayakan Upah
Ahh rapat ieu mah jang nu demo mah moal ka otakan komo rumusan2 ges we jang buruh siga urang mah nu penting gajih naek. Percuma gaji badag oge ari paylaterna oge badag mah,0.0,Kelayakan Upah
"Numpang ngoceh admin
Balik ke jaman dulu yg masih simple
Hanya ada 2 pihak, pihak pekerja dan yg memberi upah. Karena jaman
Sekarang sudah kompleks, maka tambah lagi pihak yg terlibat dalam pengupahan. Yaitu pihak serikat pekerja, pihak apindo, pihak pemerintah ( bupati, gubernur, kadis pengupahan). Mungkin usulan saya adalah balik lagi ke jaman dulu yg simple. Adu perkara antara pengupah ( perusahaan) dengan serikat buruh perusahaan tsb. Adu perkara perdata di persidangan. Biar hakim yg memutuskan berapa alpha nya, berapa klbi serta besaran gaji nya. Karena sejatinya jaman dulu pihak penguasa ( sultan atau amir) tidak di libatkan. Jadi kalau pakai hukum serupa, maka gubernur atau bupati sebagai amir / penguasa tidak di libatkan dalam pengupahan. 
Serahkan urusan pengupahan ke hakim. Jadi tidak ada politik electoral atau politiik keberpihakan atau politik tdk mau ribet. Jadi kalau di serahkan ke pengadilan maka ke 2 pihak harus mentaati keputusan pengadilan. Jangan sampai bupati atau gubernur di tuntut oleh apindo atau serikat buruh karena merasa tidak adil keputusan pemda kabupaten atau propinsi. Jadi intinya balik lagi ke akad pengupahan antara pekerja dan pemberi upah. Kalau tidak ada kesepakatan, serahkan ke hakim
Biar hakim yg menentukan dengan kebijaksanaan nya. Ini hanya sekedar omon omon saja. Terserah yg punya kepentingan. Terima kasih wassalam",1.0,Tuntutan Keadilan
Ketum partai buruh Said Iqbal dengerin tuh jangan sembarangan menuduh KDM pembohong ! KDM itu kalau ngomong berdasarkan fakta,0.0,Kelayakan Upah
Wah pengetahuan yg baru lgi nih....hatur nuhun kuliahna bapak2 sdyna❤❤,0.0,Lain-lain
"gajih naek,, gaya hidup ugal""an😂😂apalagi buruh masuk politik🤦 Partai Buruh😌",0.0,Kelayakan Upah
"Lihat/nonton kdm rapat, seperti live aja, ga ada yg di rekayasa, semua rakyat Indonesia tau, jadilah kalau nonton chanel kdm, harusnya tuntas dan tidak di skip, jadi biarkan tidak gagal paham, salam santun dr nanggung bogor.",0.0,Tuntutan Keadilan
boleh bertanya kenapa umsk/umk kebanyakan perusahaan tdk mengikuti umsk/umk malah kebanyakan perusahaan karyawan kontrak cuma pormalitas gaji nya di bawah umsk/umk contoh nya perusahaan hebel di platinum Purwakarta jam kerja 12 jm 150 rb coba Depnaker nya suruh kerja nyata perusahaan yang tidak sesuai dengan pengupahan UMSK/UMK harus di sangsi perusahaan yang tidak mengikuti umsk umk,0.0,Tuntutan Keadilan
"Aslinya sedih pak lihat smua orang cuma lempar semua ke salahan ke bapak , sing sehat pak",0.0,Lain-lain
"Kalo umsk ditentukan oleh perusahaan nanti semena² atuh pak perusahaannya, perusahaan selalu berdalih belum untung, usaha para pengusaha harus tetap jalan, biar pajak pendapatan daerah jg dapat, tapi pada prakteknya pak perusahaan kalo bisa upah dibawah standar seperti divideo bapak sebelumnya ada upah sehari sampai 83k, apa itu standar layak kehidupan buruh, tentu tidak. Itulah salah satu contoh bahwa sangat berbahaya jika perusahaan/pengusaha yang menetapkan upah 😂😂😂 Tapi saya setuju dgn bapak aing mah bisa menganalisa bahwa ada politik yang bermain di penetapan upah.",2.0,Tuntutan Keadilan
Saya bangga banget menjadi warga Jabar bisa miting bareng sama BPK gubernur lewat onllen,0.0,Optimisme Ekonomi
"Penetapan UMP/UMK/UMSK, terjebak pada nilai Indeks Alfa dan KBLI. Tidak pada kebutuhan hidup riil...",0.0,Kelayakan Upah
Assalamualaikum.sht sllu bpk gubernur jawabarat/bpk hj dedy mulyadi👍👍👍👍👍❤❤❤❤,0.0,Kebijakan Pemprov
Amazing kdm ❤,0.0,Lain-lain
Ayuk...anak Bapa Aing yang ada di Purwakarta cari tuh orang yang asal ngomong...,0.0,Lain-lain
Gini dong transparan gunanya gubernur konten mana ada gubernur kalian seperti gubernur saya KDM.saya bangga sama gubernur Jawabarat uang konten di kasihkan k rakyat yang membutuhkan.tidak pandang bulu bapa aing mah.mau orang Jawabarat atau bukan.semua dibantu 🎉,0.0,Tuntutan Keadilan
Bismillah,0.0,Lain-lain
"kspi mau enaknya aja., giliran duwit dia mau demo .. ketua kspi harus di bubarkan",0.0,Lain-lain
❤❤❤❤❤❤😊😊😊,0.0,Lain-lain
"Lombok NTB Hadir 
❤❤❤❤❤",0.0,Lain-lain
ah di pwk aya pt besar ti baheula teu bisa asup ka umsk padahal resikona gelo... bapa aing ge mental wkwkwk,0.0,Lain-lain
❤❤❤❤,0.0,Lain-lain
He....mantav....,0.0,Lain-lain
"KDM pejabat paling paling jujur ,, cobi pak Dedi telusuri soal MBG makin hari makin merosot... Masa ada MBG seminggu isinya cuman roti tawar.",0.0,Lain-lain
"Apakah Gubernur yang didaerah lain apa yaaa bisa terbuka seperti KDM ( Gubernur Jabar ) .
Jika bisa seperti KDM semua rakyat Indonesia pasti sejahtera.",0.0,Tuntutan Keadilan
"Aslkm
Sampurasun gubernur ku yg sangat kami cintai ...biar pun gk pakai bansos ,gk pakai kampanye ,gk pakai duit ,sy pilih Bpk Aing jadi RI 1..
Jadi gubernur juga kuta tulus pilih bpk aing biar pun gk pakai minyak beras duit ..
Tetap hati yg ber kata pilih no 4..
Sehat ya bpk aing ❤❤❤",0.0,Harga Pangan
Sukabumi botram hadir sehat selalu bp aing jabar istimewa,0.0,Optimisme Ekonomi
KDM Gubnur terbaik,0.0,Lain-lain
Tuh yg pada demo dengerin Bp Aing gajih tiap bulan thr tiap taun punya bersyukur lupada saya juga yg kerja rumahan gaji gak tentu tiap tahun thr ran paling saratus ribu gangaluh bersyukur aja yg penting kerjaan lancar kalian mau tiap tahun gajih naik,1.0,Kelayakan Upah
Ikut rapat bareng 😂,0.0,Lain-lain
Gaji naik ujung ujungnya jumlah pekerja di kurangi bahkan pabrik pada tutup dan pindah.,0.0,Kelayakan Upah
salam dari jayanti-Tangerang-Banten,0.0,Lain-lain
"Fakta berbicara, itu gunanya gubenur ngontent, nggak bisa di fitnah, paham kan?",0.0,Lain-lain
dukuhjati hadir pa? lihat bp sambil den9erin ucapan ucapan bp sambil n9opi mntap pa.,0.0,Lain-lain
"Makin keliatan kan, si iqbal yg predisen serikat buruh itu bergaya bak kaisar. Tuduh sana sini , dengan narasi persis sama dengan KDM haters, kesimpulannya si Iqbal ternyata cuma begundalnya Abah ... konyol !!!",0.0,Kelayakan Upah
"Sampurasun, bahwa Umk adalah upah minimum bagi pekerja lajang dg masa kerja 1 tahun sedang untuk masa kerja dilakukan secara bipartit kalau diperusahaan ada lembaga bipartit yg diwakili SP (pekerja)&Pengusaha  kalau tdk ada SP maka tdk ada perundingan sehingga upah pekerja berapapun masa kerja upahnya adalah UMK karena tdk ada pengawasan selama telah memberlakukan UMK",0.0,Tuntutan Keadilan
Mekah hadir ❤,0.0,Lain-lain
Tasik hadir nyimak🙏❤,0.0,Lain-lain
Saya ikut rapat dng gubernur lewat chanel ini jd tau alur dan hasil rapatnya,0.0,Kebijakan Pemprov
Buat yg nganggur tenang ia sebentar lagi kita dapat antrian kerja di pabrik,0.0,Optimisme Ekonomi
KDM garis keras hadir,0.0,Lain-lain
Tangerang Banten hadir buat bapak aing KDM KING DEDI MULYADI sehat2 selalu buat bapak aing ❤❤❤,0.0,Lain-lain
"Pak KDM gubernur Jabar menurut saya,,Ini lh sosok umat nya nabi Muhammad Saw,,,yg betul betul menjln kan,,apa yang diperbuat/jalani sebagai mana yg di Sampaikan oleh Baginda nabi Muhammad Saw...,,tak ada yg bisa menandingi bpk KDM,,,dgn pejabat pejabat yg lain se-Indonesia ni..,moga BPK KDM selalu dlm lindungan Allah SWT,,aminn...",0.0,Optimisme Ekonomi
Terbaik KDM,0.0,Lain-lain
Lain bapak aing mah asa ngarti Kabeh nya heran😊😊😊😊😊😊,0.0,Lain-lain
"Tah dengeken 
Nu rariweh. 
Gubernur Oge mikirken rakyat na",0.0,Tuntutan Keadilan
KDM Pejabat terbaik yg pernah saya lihat,0.0,Lain-lain
"Maaf pak gubernurku yang bijak kalau keluhan saya menyimpang. Saya ingin menyampaikan keluhan saya kalau rumah kami yang ada di perumahan harapan indah Bekasi Barat sering terkena banjir setiap hujan turun. Kami mengalami ini dari tahun 2000 sampai saat ini 2025. Sudah seperempat abad kami mengalami limpahan air dari alam semesta. Hal ini terjadi karena lingkungan kami yang dialiri  oleh kali kapuk yang melewati Bekasi kota dan  Bekasi kabupaten terhambat airnya tidak mengalir dengan lancar dari hulu ke hilir, hal ini karena kali kapuk yang ada di kabupaten Bekasi banyak bangunan liar yang belum ditertibkan, sehingga air mengalir tidak lancar. Maksud hati ingin hidup di dalam lingkungan yang asri ternyata ini hanya impian saja, sudah seperempat abad terlewati umur saya yang menjelang senja yang selalu mengalami limpahan air mata alam. sekali lagi maaf pak gubernur ku yang bijaksana, tolong bantu kami yang merindukan hidup tenang tanpa ada lagi gangguan air mata alam yang mengalir ke lingkungan kami yang di sebabkan oleh ulah manusia.",0.0,Biaya Sewa
Majenang Cilacap Jawa Tengah hadir 🙏🙏🙏,0.0,Lain-lain
Warga Lampung selalu hadir di setiap video bapak KDM,0.0,Lain-lain
❤,0.0,Lain-lain
Alhamdulillah bp Dedi mulyadi sehat2 dan Alhamdulillah semua tugas2 dan tanggung jawab nya lancar2 semua.Aamiin,0.0,Lain-lain
"Kurang jujur apa ya allooh KDM ini,, dari awal jdi pemimpin saja sudah jelas mengayominya.. Tpi knp oknum sebagian warga jabar masih aja ada yg bilang KDM yg gak baik.. 
Saya aja warga jateng paham dgn kpemimpinan KDM,, beliau pemimpin yg sangat langka dan di idam idam kan bnyak masyrakat di berbagai daerah indonesia. 
Saya aja ngiri bngt sama jabar punya pemimpin sperti KDM yg teransparan dlm segala hal",0.0,Optimisme Ekonomi
barakallah bapak KDM...salam dari kalimantan selatan..,0.0,Lain-lain
Sehat slalu bpa,0.0,Lain-lain
👍👍👍👍,0.0,Lain-lain
"C iqbal,nyaho na Ngan duit we,mslah na kurang paham,hayo nyalah keun BPK aing,moal kuat ngalawan BPK aing mah",0.0,Lain-lain
❤❤❤❤❤,0.0,Lain-lain
Mudah mudahan bapak Dedi Mulyadi dan young shepura menjadi pasangan sakinah mawadah warohmah bersama wanita Malaysia ammin ya robbal alamiin hidup KDM mantap,0.0,Lain-lain
BANG BEWOK BILANG SELURUH JAWA BARAT DI HAPUS PENGAJUAN  UMSK NYA...NIH DENGERIN,0.0,Lain-lain
Gubernur KDM serba GERCEP DLM SEGALA HAL DAN MASALAH.. HEBAT MAJU TRUS🎉🎉🎉,0.0,Optimisme Ekonomi
Alhamdulillah saya Jaenudin dari jakarta penggemar chenel YouTube KDM mantap hebat kerjanya ammin ya robbal alamiin hidup KDM mantap,0.0,Optimisme Ekonomi
Hadir hadir lagi ❤❤❤,0.0,Lain-lain
Semoga Allah SWT memberikan perlindungan kepada bapak Dedi Mulyadi kedepannya bisa menjadi presiden RI ke 9 ammin ya robbal alamiin hidup KDM mantap,0.0,Lain-lain
"𝑷𝒓𝒆𝒔𝒊𝒅𝒆𝒏 𝑲𝑺𝑷𝑰..𝒌𝒆𝒓𝒋𝒂𝒏𝒚𝒂 𝒄𝒖𝒎𝒂 𝒏𝒖𝒏𝒈𝒈𝒖 𝒔𝒆𝒕𝒐𝒓𝒂𝒏 𝒅𝒂𝒓𝒊 𝒑𝒂𝒓𝒂 𝒑𝒆𝒈𝒂𝒘𝒂𝒊..𝒘𝒂𝒌𝒕𝒖𝒏𝒚𝒂 𝒑𝒂𝒓𝒂 𝒑𝒆𝒌𝒆𝒌𝒆𝒓𝒋𝒂 𝒅𝒂𝒍𝒂𝒎 𝒌𝒆𝒔𝒖𝒍𝒊𝒕𝒂𝒏 𝒏𝒈𝒖𝒎𝒑𝒆𝒕 𝒅𝒊 𝒃𝒂𝒘𝒂𝒉 𝒎𝒆𝒋𝒂..𝒌𝒂𝒍𝒂𝒖 𝒖𝒓𝒖𝒔𝒂𝒏 𝒎𝒂𝒔𝒂𝒍𝒂𝒉 𝒅𝒖𝒊𝒕,𝒃𝒂𝒓𝒖 𝒏𝒐𝒏𝒈𝒐𝒍..𝒂𝒈𝒂𝒓 𝒅𝒊 𝒔𝒆𝒃𝒖𝒕 𝒅𝒊𝒂 𝒊𝒕𝒖 𝒃𝒆𝒓𝒕𝒂𝒏𝒈𝒈𝒖𝒏𝒈 𝒋𝒂𝒘𝒂𝒃..𝒎𝒆𝒎𝒃𝒆𝒍𝒂 𝒑𝒂𝒓𝒂 𝒑𝒆𝒌𝒆𝒓𝒋𝒂.",0.0,Lain-lain
Bogor barat hadir,0.0,Lain-lain
2029 RI 01 👍👍👍 semoga amin,0.0,Lain-lain
Assalamualaikum warahmatullahi wa barokatuh bapak Dedi Mulyadi semoga panjang umur sehat selalu ammin ya robbal alamiin hidup KDM mantap,0.0,Lain-lain
"Perbincangan yg sangat luar biasa,, semua keputusan harus terhindar dr unsur politik
Keren bapak Aing",0.0,Lain-lain
"Yang demo itu ingin meninggalkan pekerjaan, sedangkan gajinya tidak dipotong.. kan enak tidak bekerja tp gaji tetap dibayar, sekalian jalan2",0.0,Kelayakan Upah
Pada kemana ni Tahun Baruannya... 🎉,0.0,Lain-lain
Asalamualaikum hongkong hadir ❤,0.0,Lain-lain
"Sampurasun, salam Rahayu kangge Baraya sadayana, para fans KDM dimanapun berada....",0.0,Lain-lain
"Assalamu'alaikum pak gubernur bapak aink bapak dedi mulyadi, 
Pak abdi anto pak, 
Pak abdi bade nambut artos pak, 😢
Tulungan abdi pak, abdi butuh pisan, 
Abdi tos pusing pisan pak, 
Abdi nambut artosna skedik pak,, 
😢😢😢",0.0,Kebijakan Pemprov
"Gak kepikiran dr dlu, bener si harusnya pengupahan harusnya berdasarkan presentase profit dr perusahaan, klo perusahaan lagi profit besar upahnya ikut besar, klo perusahaan sedang rungkad upahnya kecil, jadi karyawan bisa lebih produktif agar perusahaannya makin Untung, klo sekarang mau perusahaan Untung besar atau kecil ya kerja seadanya aja, toh gaji minimum, paling ngandalin lembur sama insentif 😊",-1.0,Kelayakan Upah
Serasa ikut rapat juga bersama pak gubernur jabar😊,0.0,Optimisme Ekonomi
"Presiden serikat buruh mana tuh,koar2 ngomongin BPK aing,moal kuat ngalawan BPK aing mah.",0.0,Kelayakan Upah
"ari berfikir teh sing rasional said iqbal!!
tah siga bp aing ..
aing oge buruh ... tpi ngarti..",0.0,Kelayakan Upah
"Pak Dedi di omongin tuh sama Bennix. wilayah bpk di acak2 ORMAS, masa diem aja pemerintah JABAR.",0.0,Optimisme Ekonomi
Coba main modal receh di ＧＡ ＲＵ Ｄ Ａ Ｈ ＯＫＩ...ehh malah meledak🤑,0.0,Lain-lain
"baru skrang paham apa itu UMSK
krna keterbukaan BAPA AING sebagai GUBERNUR JABAR dlm hal apapun",0.0,Optimisme Ekonomi
"Memang Gubernur yg satu ini bukan kaleng2 cara berpikirnya, KDM TOP 👍",0.0,Kebijakan Pemprov
Aman terpercaya ＧＡ ＲＵ Ｄ Ａ Ｈ ＯＫＩ...pasti jepee❤,0.0,Lain-lain
tanpa tek eta pagub otakna ngariset sorngan permslahan non bae konek langsung luar biasa jeng t dapon ucap heran tp nyata massya allah,0.0,Lain-lain
"NYI HYANG LOVERS JATIM HADIR SELALU.....
🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩😍😍😍😍😍😍😍😍😍😍😍♥️❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",0.0,Lain-lain
"DENGE TAH SAID IQBAL 
MANEH UKUR BOGA KEPENTINGAN DOANG , PANGABISA  MAH EWEUH SATEH 
ELMU MANEH MAH JAUH JEUNG KDM",0.0,Lain-lain
Mangkanya di piker negara sakrang jgn mengandalkan pajak sma alam indonesia aj bikin kebijakan lain pak pariwisata indinesia nihh bagus² cuman gk bisa ngelolah dngn benar aj,0.0,Kebijakan Pemprov
KDM...CERDAS NIH SOAL UPAH....KEREN PAK GUB,0.0,Kelayakan Upah
Kenapa pengupahan di indonesia selalu di ributkan tiap tahun??? Pimpinan daerah bisa mengurusi upah buruh tapi kenapa upah tenaga honorer yg tidak manusiawi tidak di urusi??,0.0,Kelayakan Upah
"Vinvast itu pakk baru didirikan sudah diganggu ormas
Perlu perhatian khusus pak",0.0,Lain-lain
"ganti pak PP nya , biar gak jd politik , tarohan aing mah",0.0,Lain-lain
coba berpikir secara intelek.jangan sampai nanti nyesal kemudian hari,0.0,Lain-lain
tah said... dengekeun ari ngomong teh sing pinter jiga bp aing... ulah hayang naek baei jeung teu rasional.. ulah so punter saiiiid..,0.0,Lain-lain
❤️😍,0.0,Lain-lain
Kalteng selalu setia nonton content bapak aing🥰🙏,0.0,Lain-lain
"Tolong pak gubernur telusuri kabupaten Bandung,,, banyak alih pungsi dari sawah jadi perumahan,, di kecamatan Rancaekek,, kecamatan Solokan jeruk,, kecamatan Paseh,,, kecamatan Majalaya,,, kecamatan Ciparay,, kecamatan Cikancung,,, bupati nya udah 2 periode,,, tapi gak ada perubahan,, tolong di audit...???🙏",0.0,Biaya Sewa
Nu satuju ketua kpsi panggil k lembur pakuan cung hayang nyaho nyali na mun di harepen kdm👇👇👇,0.0,Lain-lain
saya bingung sama buruh ini kan sudah di taiki.mau berapa lagi di taiki pikirkan dong Masi banyak yang masi nganggur.bagai mana prusahaan itu tidak sanggup lalu pindah siapa yang rugi.kan para buruh juga,0.0,Kelayakan Upah
Bang said Iqbal nonton g ni..ternyata pencetus umsk itu KDM waktu jdi bupati Purwakarta,0.0,Lain-lain
Bapak kok bersikeras siii...GK mau menetapkan di gubernur.....kn ada aturan UU nya dan PP nya...kata Bu PLT dan pak firman...BPK mau melawan PP dan UU..ya klu BPK mau protes ya bapak ke pusat ke kementrian tenaga kerja atau DPR komisi yg bersangkutan....jgn bapak ngomel2 trus ke pak firman dan Bu PLT....percuma...beliau juga GK bisa apa2....mana lah punya akses hanya kelas OPD ke pusat pakk...untk protes...ya bapak ke pusat lah.,0.0,Optimisme Ekonomi
Pak itu yang demo di pabrik vinvast yang baru dibuka gimna itu pak kejadianya?,0.0,Lain-lain
"Hah gua ajh kerja udh 17 th gaji 2,5 gu tidak bnyak protes .
Gua allhamdulilah krna masih bisa kerja .
Bnyk yg susah cari kerja skrng .",0.0,Kelayakan Upah
"Pakdedi adalah sosok gub ideal yg bisa diterima baik oleh biruh karyawan maupun pengusaha kecuali oleh lawan politiknya yg ingin berkuasa atau yg ingin dapat uang atau jabatan.
Sy yakin buruhpun bisa berpikir cerdas dan bijaksana karna sama² butuhnya.
Buruh jangan mau dimanpaatkan oleh elit² buruh dan yg menungganginya.🙏",0.0,Tuntutan Keadilan
pengen tau buruh yg pro bapak Aing,0.0,Kelayakan Upah
"percuma gaji naik juga, kalo Harga sembako ikutan naik,,, mendingan demo turunkan harga sembako🤣🤣🤣",1.0,Harga Pangan
Upah....itu harus di musyawarahkan pihak karyawan dan pengusaha bukan oleh pemerintah. Sangat setuju ✍️🙏👍 pemerintah harus jadi penengah antara buruh dan pengusaha 👍,1.0,Tuntutan Keadilan
kalau besok masih demo tangkap aja tuh si iqbal provokatornya🤔,0.0,Lain-lain
Jujur saya tidak sabar ingin kdm jadi presiden RI 😊,0.0,Lain-lain
"🔴sy sebagai buruh sependapat gagasan pak KDM tidak memberatkan perusahaan,,nanti kalo perusahaan gulung tikar kita""jg yg kena PHK😥,,semoga pak gubernur bisa ambil keputusan yg adil bagi buruh dan perusahaan🤝🙏",0.0,Tuntutan Keadilan
"1 JABAR, 1 UMK!!!!!!!",0.0,Kelayakan Upah
Yang buat pp pun gak ngerti kayaknya 😂😂,0.0,Lain-lain
Tuh dengar presiden buruh said iqbal keterangan gub jabar kdm jangan cuma katanya2 blm a 1 sdh kritik,0.0,Kelayakan Upah
Bapak sing sarehat Semarang Jateng menyapa,0.0,Lain-lain
"Buruh wajib ikut organisasi gk mau ikut d ancam ujung2 gaji ad pemotongan buat ke organisasi, kadang ada alibi situ masuk kerja gara2 organisasi lah pdhl mau jd karyawan bayar jg k oknum organisasi dll",0.0,Kelayakan Upah
"Ya Allah pak KDM serba tahu teknis tentang upah gaji perusahaan ,, smoga dngn ada saran dri KDM, perusahaan di Jabar semakin maju dan bisa mensejahterakan karyawannya",1.0,Kelayakan Upah
"Ekonomi saya makan lauk serba T .dan kebutuhan operasional rumah tangga wilayah Parung panjang kab Bogor selalu Tekor 2 JT.mau tidak mau harus kerja sama dengan pinjol.kalo sampai tidak kerja dan masih ada tuntutan pinjol mau tidak mau jual ginjal. Biasa orang Bogor biar mati tersohor.
Harapan saya Upah buruh naik 20% .jelas kalo sampai naik di bawahnya .para pengusaha yang menjabat sebagai dewan menginginkan perjuangan leluhurnya dari Walanda sama Nippon di teruskan untuk menghabisi generasi bangsa Indonesia.

Upah Buruh wajib naik 20% bila pengusaha tidak setuju atau pengusaha besar tidak mau maka silakan jadi usaha UMKM atau akuisisi perusahaanya untuk pemerintah jadi Perusahaan BUMN",2.0,Harga Pangan
"Sukses selalu bapak aing, Oge bapak editor sadayana.",0.0,Lain-lain
